,,,,Pellgu i Ibrit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Drenica,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_061,,,,,,RV02_062,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Krojmir,,,,,,Drenica Vragoli,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Djetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,15.04.2013,12.12.2013,,,,,12.03.2013,15.04.2013,16.05.2013,,,11.07.2013,,,,,12.11.2013,,03.12.2013,09.01.2013,,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:45,15:40,,,,,14:30,12:05,14:15,,,9:10,,,,,13:00,,13:00,12:05,,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,vranet,me diell,vranet,,,vranet,,,,,vranet,,vranet,vranet,,,,,,,,
1003,Temperatura e ujit ,Tu,0C,9.5,3.3,3.300,6.400,9.500,2,9.8,12.6,15.6,12.667,,19.3,,19.300,,,11.3,11.300,3.3,1.5,,2.400,1.500,10.486,19.300,11.300,6.349,7
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,,pa,,,,,pa,,pa,pa,,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,19.9,10.5,10.500,15.200,19.900,2,19.5,18.9,12.3,16.900,,19.4,,19.400,,,3.8,3.800,136,48,,92.000,3.800,36.843,136.000,19.400,45.785,7
1008,Perqueshmëria elektrike,χ,µScm-1,400,631,400.000,515.500,631.000,2,418,580,654,550.667,,678,,678.000,,,881,881.000,900,853,,876.500,418.000,709.143,900.000,678.000,178.936,7
1009,Materiet e tretshme në ujë,M.tert.,mg/l,199,316,199.000,257.500,316.000,2,208,291,327,275.333,,339,,339.000,,,440,440.000,452,426,,439.000,208.000,354.714,452.000,339.000,89.833,7
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.88,,7.880,7.880,7.880,1,8.05,7.84,7.8,7.897,,8.49,,8.490,,,8.36,8.360,,8.01,,8.010,7.800,8.092,8.490,8.030,0.278,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,5.25,9.22,5.250,7.235,9.220,2,5.46,4.84,8.72,6.340,,,,,,,,,5.86,7.13,,6.495,4.840,6.402,8.720,5.860,1.543,5
1013,Ngopshmëria me oksigjen,NgO,%,50.1,77.3,50.100,63.700,77.300,2,58.1,46.5,92.1,65.567,,,,,,,,,47.2,63.5,,55.350,46.500,61.480,92.100,58.100,18.584,5
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,7.8,3.6,3.600,5.700,7.800,2,11,10.7,11.1,10.933,,14.7,,14.700,,,3.7,3.700,26.4,50,,38.200,3.700,18.229,50.000,11.100,15.596,7
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,1.1,1.3,1.6,1.333,,7.1,,7.100,,,1.3,1.300,12.2,13.6,,12.900,1.100,5.457,13.600,1.600,5.521,7
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,2.3,1.0,1.000,1.650,2.300,2,3.3,3.2,3.3,3.267,,5.2,,5.200,,,1.0,1.000,8.2,16.8,,12.500,1.000,5.857,16.800,3.300,5.313,7
1019,Meteriet totale të suspenduara ,MTS,mg/l,11.1,28.6,11.100,19.850,28.600,2,12.9,19,26.6,19.500,,63,,63.000,,,29,29.000,15.60,0.15,,7.875,0.150,23.750,63.000,19.000,19.748,7
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.15,0.15,0.15,0.150,,2,,2.000,,,0.15,0.150,0.15,0.15,,0.150,0.150,0.414,2.000,0.150,0.699,7
1021,Joni nitratet ,NO3-,mg/l,15,5.7,5.700,10.350,15.000,2,0.9,6.4,5.7,4.333,,0.15,,0.150,,,30.2,30.200,22.6,14.5,,18.550,0.150,11.493,30.200,6.400,11.422,7
1022,Azoti i nitrateve,N-NO3-,mg/l N,3.390,1.288,1.288,2.339,3.390,2,0.203,1.446,1.288,0.979,,0.15,,0.150,,,6.825,6.825,5.108,3.277,,4.192,0.150,2.614,6.825,1.446,2.562,7
1023,Joni nitrit ,NO2-,mg/l,0.061,0.083,0.061,0.072,0.083,2,0.394,0.148,0.408,0.317,,0.668,,0.668,,,0.564,0.564,0.321,0.105,,0.213,0.105,0.373,0.668,0.394,0.204,7
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.019,0.025,0.019,0.022,0.025,2,0.120,0.045,0.124,0.096,,0.203,,0.203,,,0.171,0.171,0.098,0.032,,0.065,0.032,0.113,0.203,0.120,0.062,7
1025,Joni amonium,NH4+,mg/l,,0.99,0.990,0.990,0.990,1,0.695,0.06,0.472,0.409,,6.72,,6.720,,,6.45,6.450,1.916,4.17,,3.043,0.060,2.926,6.720,1.916,2.846,7
1026,Azoti i amoniumit,N-NH4+,mg/l N,,0.770,0.770,0.770,0.770,1,0.541,0.047,0.367,0.318,,5.228,,5.228,,,5.018,5.018,1.491,3.244,,2.367,0.047,2.277,5.228,1.491,2.214,7
1027,Azoti total inorganik,ATI,mg/l N,3.409,2.084,2.084,2.746,3.409,2,0.864,1.538,1.779,1.394,,5.581,,5.581,,,12.015,12.015,6.696,6.553,,6.625,0.864,5.004,12.015,5.581,3.964,7
1028,Amoniumi i pajonizuar,NH3,mg/l,,0.724,0.724,0.724,0.724,1,0.508,0.044,0.345,0.299,,4.914,,4.914,,,4.717,4.717,1.401,3.050,,2.225,0.044,2.140,4.914,1.401,2.081,7
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,0.596,0.596,0.596,0.596,1,0.418,0.036,0.284,0.246,,4.045,,4.045,,,3.882,3.882,1.153,2.510,,1.832,0.036,1.761,4.045,1.153,1.713,7
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.29,0.448,0.290,0.369,0.448,2,0.708,0.42,0.254,0.461,,0.731,,0.731,,,1.323,1.323,0.475,0.62,,0.548,0.254,0.647,1.323,0.620,0.343,7
