,,,,,,Pellgu  i Ibrit,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Graqanka,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_051,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Graqanka Vragoli,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,12.03.2013,15.04.2013,15.05.2013,,,11.07.2013,,,,,12.11.2013,,03.12.2013,09.01.2013,13.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,14:00,12:30,13:45,,,9:30,,,,,11:30,,12:00,12:35,9:35,,,,,,,
1002,Moti,M,vrojtim,vranet,me diell,vranet,,,vranet,,,,,vranet,,vranet,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.8,14.7,16.8,14.100,,17.6,,17.600,,,11.8,11.800,2.8,0.5,8.8,4.033,0.500,10.475,17.600,11.300,6.230,8
1004,Temperatura e ajrit,TA,0C,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,pa,,,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,14.9,15.4,108,46.100,,12.3,,12.300,,,5.2,5.200,7.8,39,13.9,20.233,5.200,27.063,108.000,14.400,34.263,8
1008,Perqueshmëria elektrike,χ,µScm-1,1254,1560,1591,1468.333,,1672,,1672.000,,,1717,1717.000,1506,1728,1683,1639.000,1254.000,1588.875,1728.000,1631.500,156.474,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,630,781,800,737.000,,836,,836.000,,,859,859.000,753,865,841,819.667,630.000,795.625,865.000,818.000,77.460,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.75,8.13,7.46,7.780,,8.62,,8.620,,,8.62,8.620,,7.72,7.97,7.845,7.460,8.039,8.620,7.970,0.449,7
,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,5.2,5.3,3.81,4.770,,,,,,,,,4.29,6.01,8.8,6.367,3.810,5.568,8.800,5.250,1.765,6
1013,Ngopshmëria me oksigjen,NgO,%,56.7,53.2,41.4,50.433,,,,,,,,,35.1,52.7,76,54.600,35.100,52.517,76.000,52.950,14.117,6
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,7.5,6.1,17.8,10.467,,7.2,,7.200,,,24.4,24.400,7.7,47,12.4,22.367,6.100,16.263,47.000,10.050,13.958,8
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,3.6,2.2,9.4,5.067,,1.6,,1.600,,,11.1,11.100,3.2,12.61,6,7.270,1.600,6.214,12.610,4.800,4.281,8
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,2.7,1.7,6.5,3.633,,2.1,,2.100,,,7.5,7.500,2.4,16.2,4.4,7.667,1.700,5.438,16.200,3.550,4.842,8
1019,Meteriet totale të suspenduara ,MTS,mg/l,40,47.5,10,32.500,,29.6,,29.600,,,34.00,34.000,46.50,0.15,12.5,19.717,0.150,27.531,47.500,31.800,17.901,8
1020,Detergjentet ,DET,mg/l,1.2,0.15,2.2,1.183,,0.15,,0.150,,,0.15,0.150,0.5,0.15,1.4,0.683,0.150,0.738,2.200,0.325,0.777,8
1021,Joni nitratet ,NO3-,mg/l,0.8,18.2,0.15,6.383,,8.1,,8.100,,,1.2,1.200,2.9,0.8,0.15,1.283,0.150,4.038,18.200,1.000,6.298,8
1022,Azoti i nitrateve,N-NO3-,mg/l N,0.181,4.113,0.15,1.481,,1.831,,1.831,,,0.271,0.271,0.655,0.181,0.15,0.329,0.150,0.942,4.113,0.226,1.404,8
1023,Joni nitrit ,NO2-,mg/l,0.433,0.338,0.152,0.308,,0.58,,0.580,,,0.156,0.156,0.406,0.34,0.51,0.419,0.152,0.364,0.580,0.373,0.153,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.132,0.103,0.046,0.094,,0.176,,0.176,,,0.047,0.047,0.123,0.103,0.155,0.127,0.046,0.111,0.176,0.113,0.047,8
1025,Joni amonium,NH4+,mg/l,3.813,3.534,6,4.449,,6.522,,6.522,,,9.544,9.544,8.98,14.77,6.44,10.063,3.534,7.450,14.770,6.481,3.642,8
1026,Azoti i amoniumit,N-NH4+,mg/l N,2.967,2.749,4.668,3.461,,5.074,,5.074,,,7.425,7.425,6.986,11.491,5.010,7.829,2.749,5.796,11.491,5.042,2.834,8
1027,Azoti total inorganik,ATI,mg/l N,3.279,6.965,4.864,5.036,,7.081,,7.081,,,7.744,7.744,7.765,11.775,5.315,8.285,3.279,6.849,11.775,7.023,2.536,8
1028,Amoniumi i pajonizuar,NH3,mg/l,2.789,2.584,4.388,3.254,,4.770,,4.770,,,6.980,6.980,6.567,10.802,4.710,7.360,2.584,5.449,10.802,4.740,2.664,8
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,2.295,2.127,3.611,2.678,,3.925,,3.925,,,5.744,5.744,5.405,8.890,3.876,6.057,2.127,4.484,8.890,3.901,2.192,8
1030,Azoti total organik+inorganik,AT,mg/l N,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,1.2,0.574,0.8,0.858,,0.471,,0.471,,,1.504,1.504,0.873,0.802,0.76,0.812,0.471,0.873,1.504,0.801,0.334,8
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.391,0.187,0.261,0.280,,0.154,,0.154,,,0.490,0.490,0.285,0.261,0.248,0.265,0.154,0.285,0.490,0.261,0.109,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,0.16,0.38,0.29,0.277,,0.301,,0.301,,,0.721,0.721,0.431,0.3,0.33,0.354,0.160,0.364,0.721,0.316,0.164,8
1035,Joni sulfat ,SO42-,mg/l,204.7,350.7,496.6,350.667,,244.4,,244.400,,,264,264.000,234.5,209.3,221.4,221.733,204.700,278.200,496.600,239.450,99.703,8
1036,Fortësia e përgjithshme ,Fp,0dH,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
