,,,,Pellgu  i Ibrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Ibri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_011,,,,,,RV02_012,,,,,,,,,,,,,,,,,,,,,,RV02_013,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Kushtovë,,,,,,Ibri Mitrovicë,,,,,,,,,,,,,,,,,,,,,,Kelmend,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,15.04.2013,,,,,,12.03.2013,15.04.2013,15.05.2013,,19.06.2013,10.07.2013,14.08.2013,,,,12.11.2013,,04.12.2013,09.01.2013,13.02.2013,,,,,,,,12.03.2013,15.04.2013,15.05.2013,,19.06.2013,10.07.2013,14.08.2013,,,,12.11.2013,,04.12.2013,09.01.2013,13.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:30,,,,,,10:50,11:20,10:00,,10:45,11:45,11:50,,,,11:30,,10:20,10:55,11:50,,,,,,,,10:15,11:45,9:35,,9:58,10:10,11:10,,,,11:55,,10:40,10:30,12:35,,,,,,,
1002,Moti,M,vrojtim,me diell,,,,,,vranet,diell,diell,,me diell,me diell,diell,,,,vranet,,vranet,vranet,vranet,,,,,,,,vranet,me diell,diell,,me diell,me diell,diel,,,,vranet,,vranet,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,7.7,,7.700,7.700,7.700,1,7.9,7.7,10.7,8.767,9.7,20.6,18.3,16.200,,,10.8,10.800,5.7,4.9,9.5,6.700,4.900,10.580,20.600,9.600,5.094,10,9.4,10,13.4,10.933,13,15.6,19.7,16.100,,,11.5,11.500,4.7,4.2,10.9,6.600,4.200,11.240,19.700,11.200,4.664,10
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,,0.000,,0.000,0,pa,pa,pa,,pa,pa,pa,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa,,pa,pa,pa,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,,0.000,,0.000,0,,pa,,,,,pa,,,,pa,,pa,,,,0.000,,0.000,,,0,,,,,,,pa,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,15.5,,15.500,15.500,15.500,1,14.6,256,122,130.867,8.1,10.2,10.8,9.700,,,2.8,2.800,13.4,4.2,13.3,10.300,2.800,45.540,256.000,12.050,82.031,10,29,236,108,124.333,7.4,1.7,14.4,7.833,,,2.8,2.800,18.9,14.4,13.1,15.467,1.700,44.570,236.000,14.400,74.046,10
1008,Perqueshmëria elektrike,χ,µScm-1,288,,288.000,288.000,288.000,1,333,292,349,324.667,285,662,322,423.000,,,340,340.000,332,316,356,334.667,285.000,358.700,662.000,332.500,108.968,10,467,415,560,480.667,388,324,537,416.333,,,555,555.000,617,609,609,611.667,324.000,508.100,617.000,546.000,103.614,10
1009,Materiet e tretshme në ujë,M.tert.,mg/l,144,,144.000,144.000,144.000,1,166,146,175,162.333,142,331,161,211.333,,,170,170.000,166,157,172,165.000,142.000,178.600,331.000,166.000,54.622,10,234,207,280,240.333,194,162,168,174.667,,,272,272.000,309,304,305,306.000,162.000,243.500,309.000,253.000,57.824,10
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.37,,8.370,8.370,8.370,1,7.99,8.28,7.68,7.983,8.25,8.65,8.06,8.320,,,8.74,8.740,,8.38,8.26,8.320,7.680,8.254,8.740,8.260,0.325,9,7.86,8.13,7.55,7.847,8.06,8.9,7.76,8.240,,,8.69,8.690,,8.08,8.1,8.090,7.550,8.126,8.900,8.080,0.427,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,8.31,,8.310,8.310,8.310,1,4.52,3.91,6.9,5.110,,,8.87,8.870,,,7.41,7.410,7.46,7.39,8.83,7.893,3.910,6.911,8.870,7.400,1.814,8,3.98,9.4,7.19,6.857,,,3.73,3.730,,,6.22,6.220,5.2,7.01,8.3,6.837,3.730,6.379,9.400,6.615,2.002,8
1013,Ngopshmëria me oksigjen,NgO,%,82.4,,82.400,82.400,82.400,1,48.3,45.5,60,51.267,,,94.3,94.300,,,78.2,78.200,59.3,71.2,74.1,68.200,45.500,66.363,94.300,65.600,16.282,8,45,105.5,72.6,74.367,,,40.8,40.800,,,58.6,58.600,42.8,68.4,74.9,62.033,40.800,63.575,105.500,63.500,21.748,8
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,20.8,,20.800,20.800,20.800,1,2.8,109,7.6,39.800,35,11.1,58.0,34.700,,,8.3,8.300,4.7,29.8,5.3,13.267,2.800,27.160,109.000,9.700,33.812,10,8.2,91,8.4,35.867,19.6,4,14.6,12.733,,,12.3,12.300,4.6,35.5,3.2,14.433,3.200,20.140,91.000,10.350,26.706,10
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,1.5,51,3.5,18.667,11.5,1,27.0,13.167,,,0.9,0.900,2.1,4,2.09,2.730,0.900,10.459,51.000,2.800,16.362,10,3.4,22.5,1.5,9.133,8.1,2,6.6,5.567,,,5.4,5.400,1.7,6,1.2,2.967,1.200,5.840,22.500,4.400,6.339,10
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,7.1,,7.100,7.100,7.100,1,1.1,34,2.5,12.533,14.2,3.3,18.2,11.900,,,2.4,2.400,1.6,9.4,1.7,4.233,1.100,8.840,34.000,2.900,10.674,10,2.4,28.4,2.4,11.067,6,1.5,4.4,3.967,,,3.7,3.700,1.2,11.1,0.9,4.400,0.900,6.200,28.400,3.050,8.370,10
