,,,,,Pellgu I Moraves se Binçes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Kriva reka,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV03_021,,,,,,RV03_022,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Zebincë,,,,,,Kriva reka Domorovc,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,22.04.2013,13.11.2013,,,,,18.03.2013,22.04.2013,30.05.2013,,,25.07.2013,,,,,13.11.2013,,05.12.2013,31.01.2013,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,14:35,9:30,,,,,11:40,13:25,11:20,,,13:15,,,,,14:10,,14:20,13:45,11:20,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,vranet,me diell,me diell,,,diell,,,,,vranet,,diell,diell,diell,,,,,,,
1003,Temperatura e ujit ,Tu,0C,14.7,10.5,10.500,12.600,14.700,2,3.3,14.7,17.6,11.867,,20.1,,20.100,,,12,12.000,2.1,3.1,6.3,3.833,2.100,9.900,20.100,9.150,7.115,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa ,,,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,10,8.5,8.500,9.250,10.000,2,38.4,130,118,95.467,,9,,9.000,,,179,179.000,127,14.3,24,55.100,9.000,79.963,179.000,78.200,65.659,8
1008,Perqueshmëria elektrike,χ,µScm-1,372,467,372.000,419.500,467.000,2,348,415,958,573.667,,927,,927.000,,,755,755.000,620,530,252,467.333,252.000,600.625,958.000,575.000,262.746,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,175,233,175.000,204.000,233.000,2,173,207,329,236.333,,466,,466.000,,,674,674.000,310,267,126,234.333,126.000,319.000,674.000,288.500,177.936,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.36,,8.360,8.360,8.360,1,8.08,7.94,8.29,8.103,,8.67,,8.670,,,,,,7.99,7.88,7.935,7.880,8.142,8.670,8.035,0.296,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,8.87,,8.870,8.870,8.870,1,7.39,7.2,9.01,7.867,,4.35,,4.350,,,,,6.48,7.03,6.52,6.677,4.350,6.854,9.010,7.030,1.391,7
1013,Ngopshmëria me oksigjen,NgO,%,90.8,,90.800,90.800,90.800,1,71.8,76.4,94.5,80.900,,47.9,,47.900,,,,,48.9,55.08,54.5,52.827,47.900,64.154,94.500,55.080,17.329,7
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,2.2,4.2,2.200,3.200,4.200,2,9.5,80,83,57.500,,33.5,,33.500,,,96.0,96.000,40.8,7.8,46.5,31.700,7.800,49.638,96.000,43.650,33.582,8
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,4.4,7.5,5.78,5.893,,12.6,,12.600,,,15.0,15.000,11.1,3.4,2.5,5.667,2.500,7.785,15.000,6.640,4.613,8
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.7,1.8,0.700,1.250,1.800,2,3.1,25,25.8,17.967,,10.5,,10.500,,,30.0,30.000,10.8,2.4,14.4,9.200,2.400,15.250,30.000,12.600,10.554,8
1019,Meteriet totale të suspenduara ,MTS,mg/l,16,0.15,0.150,8.075,16.000,2,29,0.15,16.4,15.183,,0.15,,0.150,,,0.15,0.150,5.50,19.2,15,13.233,0.150,10.694,29.000,10.250,10.817,8
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.7,0.15,0.15,0.333,,0.15,,0.150,,,0.15,0.150,0.15,0.15,0.15,0.150,0.150,0.219,0.700,0.150,0.194,8
1021,Joni nitratet ,NO3-,mg/l,,0.15,0.150,0.150,0.150,1,0.15,0.15,2.3,0.867,,8.1,,8.100,,,0.15,0.150,3.5,1.2,2.1,2.267,0.150,2.206,8.100,1.650,2.676,8
1022,Azoti i nitrateve,N-NO3-,mg/l N,,0.15,0.150,0.150,0.150,1,0.15,0.15,0.520,0.273,,1.831,,1.831,,,0.15,0.150,0.791,0.271,0.475,0.512,0.150,0.542,1.831,0.373,0.568,8
1023,Joni nitrit ,NO2-,mg/l,0.0045,0.153,0.005,0.079,0.153,2,0.086,0.066,0.278,0.143,,0.811,,0.811,,,0.384,0.384,0.165,0.07,0.094,0.110,0.066,0.244,0.811,0.130,0.256,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.0045,0.047,0.005,0.026,0.047,2,0.026,0.020,0.085,0.044,,0.247,,0.247,,,0.117,0.117,0.050,0.021,0.029,0.033,0.020,0.074,0.247,0.039,0.078,8
1025,Joni amonium,NH4+,mg/l,,1.82,1.820,1.820,1.820,1,0.59,0.935,0.246,0.590,,4.851,,4.851,,,6.101,6.101,5.916,4.94,0.987,3.948,0.246,3.071,6.101,2.919,2.591,8
1026,Azoti i amoniumit,N-NH4+,mg/l N,,1.416,1.416,1.416,1.416,1,0.459,0.727,0.191,0.459,,3.774,,3.774,,,4.747,4.747,4.603,3.843,0.768,3.071,0.191,2.389,4.747,2.271,2.015,8
1027,Azoti total inorganik,ATI,mg/l N,0.005,1.612,0.005,0.808,1.612,2,0.635,0.897,0.796,0.776,,5.851,,5.851,,,5.013,5.013,5.444,4.136,1.271,3.617,0.635,3.005,5.851,2.703,2.309,8
1028,Amoniumi i pajonizuar,NH3,mg/l,,1.331,1.331,1.331,1.331,1,0.431,0.684,0.180,0.432,,3.548,,3.548,,,4.462,4.462,4.326,3.613,0.722,2.887,0.180,2.246,4.462,2.135,1.895,8
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,1.095,1.095,1.095,1.095,1,0.355,0.563,0.148,0.355,,2.920,,2.920,,,3.672,3.672,3.561,2.973,0.594,2.376,0.148,1.848,3.672,1.757,1.559,8
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.012,0.212,0.012,0.112,0.212,2,0.11,0.145,0.341,0.199,,0.501,,0.501,,,0.631,0.631,0.231,0.27,0.199,0.233,0.110,0.304,0.631,0.251,0.180,8
