,,,,,Pellgu i Ibrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Llapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_031,,,,,,RV02_032,,,,,,,,,,,,,,,,,,,,,,RV02_033,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Murgullë,,,,,,Podujevë,,,,,,,,,,,,,,,,,,,,,,Llapi Milloshevë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,15.04.2013,03.12.2013,,,,,18.03.2013,15.04.2013,23.05.2013,,20.06.2013,11.07.2013,,,,,,,03.12.2013,09.01.2013,13.02.2013,,,,,,,,18.03.2013,15.04.2013,23.05.2013,,20.06.2013,11.07.2013,,,,,,,03.12.2013,09.01.2013,11.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,13:40,10:40,,,,,13:00,14:10,11:35,,10:25,11:13,,,,,,,11:30,11:10,9:00,,,,,,,,11:45,9:30,12:20,,11:15,12:10,,,,,,,12:50,11:50,11:40,,,,,,,
1002,Moti,M,vrojtim,diell,vranet,,,,,vranet,me diell,me diell,,me diell,diell,,,,,,,vranet,vranet,vranet,,,,,,,,vranet,me deill,me diell,,me diell,diell,,,,,,,vranet,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.6,1.6,1.600,6.100,10.600,2,4.3,10.5,14.6,9.800,17.8,14.9,,16.350,,,,,4.5,0.9,8.6,4.667,0.900,9.513,17.800,9.550,5.998,8,4.4,9.6,15.1,9.700,17.9,17.7,,17.800,,,,,4.5,1,2.8,2.767,1.000,9.125,17.900,7.050,6.930,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa,,pa,pa,,,,,,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,pa,,,,,,,pa,,,,0.000,,0.000,,,0,,,,,,pa,,,,,,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,188,8.5,8.500,98.250,188.000,2,97,188,16.3,100.433,45,15.9,,30.450,,,,,12.3,48,13.6,24.633,12.300,54.513,188.000,30.650,61.137,8,76,189,11.3,92.100,22,6.8,,14.400,,,,,12.1,41,15.5,22.867,6.800,46.713,189.000,18.750,61.836,8
1008,Perqueshmëria elektrike,χ,µScm-1,286,374,286.000,330.000,374.000,2,310,360,470,380.000,409,416,,412.500,,,,,515,502,661,559.333,310.000,455.375,661.000,443.000,108.335,8,370,421,480,423.667,460,494,,477.000,,,,,634,622,500,585.333,370.000,497.625,634.000,487.000,91.004,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,143,187,143.000,165.000,187.000,2,155,180,235,190.000,204,208,,206.000,,,,,257,251,330,279.333,155.000,227.500,330.000,221.500,54.024,8,185,210,240,211.667,230,247,,238.500,,,,,317,311,249,292.333,185.000,248.625,317.000,243.500,45.560,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.5,,8.500,8.500,8.500,1,8.18,8.28,7.49,7.983,7.97,8.75,,8.360,,,,,,8.2,8.25,8.225,7.490,8.160,8.750,8.200,0.378,7,7.94,8.16,7.72,7.940,7.88,8.68,,8.280,,,,,,7.95,8.04,7.995,7.720,8.053,8.680,7.950,0.308,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,6.85,7.95,6.850,7.400,7.950,2,6.69,6.63,7.14,6.820,,,,,,,,,6.63,8.14,9.9,8.223,6.630,7.522,9.900,6.915,1.301,6,5.67,6.65,6.7,6.340,,,,,,,,,6.01,8.3,7.16,7.157,5.670,6.748,8.300,6.675,0.927,6
1013,Ngopshmëria me oksigjen,NgO,%,82.3,61.5,61.500,71.900,82.300,2,53.4,76.6,72,67.333,,,,,,,,,53.5,73.5,78.6,68.533,53.400,67.933,78.600,72.750,11.454,6,53,72.4,67.1,64.167,,,,,,,,,48.4,74,68.7,63.700,48.400,63.933,74.000,67.900,10.645,6
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,48,8.7,8.700,28.350,48.000,2,15.6,39.5,21,25.367,11,3.9,,7.450,,,,,5.0,4.3,6.3,5.200,3.900,13.325,39.500,8.650,12.210,8,16.4,14,11.7,14.033,37.5,8.1,,22.800,,,,,5.6,1.3,2.5,3.133,1.300,12.138,37.500,9.900,11.554,8
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,4.3,4.300,4.300,4.300,1,1.79,8.6,4.84,5.077,3.2,1.9,,2.550,,,,,2.0,1.2,2.6,1.933,1.200,3.266,8.600,2.300,2.429,8,0.87,3.4,4.3,2.857,3.6,1,,2.300,,,,,1.4,0.4,0.9,0.900,0.400,1.984,4.300,1.200,1.522,8
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,15,2.9,2.900,8.950,15.000,2,4.7,12.4,6.4,7.833,3.6,1.5,,2.550,,,,,1.5,1.2,1.8,1.500,1.200,4.138,12.400,2.700,3.817,8,5,4.3,3.3,4.200,11.7,2.4,,7.050,,,,,1.6,0.15,0.7,0.817,0.150,3.644,11.700,2.850,3.662,8
1019,Meteriet totale të suspenduara ,MTS,mg/l,0.15,0.15,0.150,0.150,0.150,2,23,0.15,24.8,15.983,20.4,26,,23.200,,,,,37.70,18.8,24,26.833,0.150,21.856,37.700,23.500,10.457,8,27,9.5,31.1,22.533,0.15,14.7,,7.425,,,,,28,10.2,20,19.400,0.150,17.581,31.100,17.350,10.809,8
