,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumbardhi i Pejës,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_041,,,,,,RV01_042,,,,,,,,,,,,,,,,,,,,,,RV01_043,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Drelaj,,,,,,Pejë - Dalje,,,,,,,,,,,,,,,,,,,,,,Grabanicë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,16.04.2013,04.09.2013,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,11:50,17:10,,,,,14:00,10:45,12:35,,11:25,12:08,,,15:00,,,,,11:00,11:25,,,,,,,,14:30,10:15,12:15,,11:00,11:15,,,15:25,,,,,10:25,10:45,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,vranet,me diell,me diell,,vranet,dill,,,diell,,,,,vranet,vranet,,,,,,,,vranet,me diell,me diell,,vranet,diell,,,diell,,,,,me shi,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,7.9,11.6,7.9,9.75,11.6,2,6.9,7.8,11.4,8.7,12.4,18,,15.2,20.4,,,20.4,,5.4,6.1,5.75,5.4,11.05,20.4,9.6,5.63,8,8.3,8.3,12.1,9.567,14.3,21,,17.65,18.9,,,18.9,,5.5,5.8,5.65,5.5,11.775,21,10.2,5.875,8
1004,Temperatura e ajrit,TA,0C,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0,,0,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0,,,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0,,,0
