,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,, ,Lumbardhi i Prizrenit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_101,,,,,,RV01_102,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Prevallë,,,,,,Vlashnje,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,25.04.2013,08.10.2013,,,,,28.03.2013,29.04.2013,29.05.2013,,26.06.2013,31.07.2013,,,,,21.11.2013,,,23.01.2013,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,12:45,12:20,,,,,12:30,12:45,12:55,,12:20,9:05,,,,,14:15,,,12:20,12:45,,,,,,,
1002,Moti,M,vrojtim,me diell,dill,,,,,me diell,me diell,me diell,,me diell,diell,,,,,vranet,,,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,7.1,8,7.100,7.550,8.000,2,9.3,13.3,13.8,12.133,13.2,21.2,,Err:522,,,11.6,11.600,,7.9,7.7,7.800,Err:522,Err:522,Err:522,Err:522,5.055,9
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,Err:522,,,,,,,,,Err:522,Err:522,Err:522,Err:522,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,Err:522,,,pa,,,pa,pa,,Err:522,Err:522,Err:522,Err:522,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,pa,,,,pa,,Err:522,,,pa,,,,,,Err:522,Err:522,Err:522,Err:522,,0
1007,Turbullira,Tur,NTU,11.2,7,7.000,9.100,11.200,2,15.4,136,7.2,52.867,1,45,,Err:522,,,101,101.000,,13.2,12.6,12.900,Err:522,Err:522,Err:522,Err:522,46.942,9
1008,Perqueshmëria elektrike,χ,µScm-1,93,106,93.000,99.500,106.000,2,288,219,251,252.667,279,564,,Err:522,,,319,319.000,,323,340,331.500,Err:522,Err:522,Err:522,Err:522,127.096,9
1009,Materiet e tretshme në ujë,M.tert.,mg/l,46,53,46.000,49.500,53.000,2,142,109,125,125.333,139,281,,Err:522,,,160,160.000,,161,170,165.500,Err:522,Err:522,Err:522,Err:522,63.397,9
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.98,8.72,7.980,8.350,8.720,2,7.66,7.69,8.2,7.850,7.8,7.81,,Err:522,,,,,,8.04,8.1,8.070,Err:522,Err:522,Err:522,Err:522,0.199,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,8.66,,8.660,8.660,8.660,1,4.9,5.1,5.81,5.270,,4.07,,4.070,,,,,,7.49,8.17,7.830,4.070,5.923,8.170,5.455,1.592,6
1013,Ngopshmëria me oksigjen,NgO,%,75.7,,75.700,75.700,75.700,1,56.9,54.6,64.1,58.533,,45.8,,45.800,,,,,,78.8,85,81.900,45.800,64.200,85.000,60.500,15.032,6
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,0.6,0.15,0.150,0.375,0.600,2,3.8,6.4,6.2,5.467,2.5,38.5,,Err:522,,,47.0,47.000,,4,3.3,3.650,Err:522,Err:522,Err:522,Err:522,18.688,9
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,0.15,0.150,0.150,0.150,1,1.9,3.5,3.3,2.900,1.6,12.8,,Err:522,,,22.0,22.000,,1.7,0.5,1.100,Err:522,Err:522,Err:522,Err:522,7.434,9
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.5,0.15,0.150,0.325,0.500,2,1.4,2.5,2.4,2.100,1.3,14.2,,Err:522,,,14.6,14.600,,1.32,1,1.160,Err:522,Err:522,Err:522,Err:522,6.361,9
