,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumi Klina,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_031,,,,,,RV01_032,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Cerpule,,,,,,Klina në Klinë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,04.09.2013,,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,11:00,,,,,,10:45,15:00,14:35,,13:55,10:45,,,19:15,,,,,12:45,12:45,,,,,,,
1002,Moti,M,vrojtim,diell,,,,,,vranet,me diell,me diell,,vranet,diell,,,diell,,,,,diell,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,17.2,,17.200,17.200,17.200,1,8.7,13.3,19.8,13.933,19.9,20.2,,20.050,18.2,,,18.200,,7,8.2,7.600,7,14.413,20.200,15.75,5.7865453548,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,pa,,0.000,,0.000,0,,,,,,pa,,,pa,,,,,,,,0,,0.000,,,0
1007,Turbullira,Tur,NTU,0.4,,0.400,0.400,0.400,1,23,19.3,11.4,17.900,5,5.3,,5.150,4.6,,,4.600,,13,16.2,14.600,4.6,12.225,23.000,12.2,6.9850350239,8
1008,Perqueshmëria elektrike,χ,µScm-1,444,,444.000,444.000,444.000,1,497,660,660,605.667,708,660,,684.000,722,,,722.000,,656,659,657.500,497,652.750,722.000,660,67.9427279826,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,222,,222.000,222.000,222.000,1,247,330,330,302.333,354,330,,342.000,361,,,361.000,,327,330,328.500,247,326.125,361.000,330,34.4650444032,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.41,,8.410,8.410,8.410,1,7.96,7.86,8.02,7.947,8.16,8.14,,8.150,8.27,,,8.270,,7.85,7.79,7.820,7.79,8.006,8.270,7.99,0.1715423729,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
