,,,,,,,,Pellgu  i Ibrit,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumi Topillës,,,,,,Shtime,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_071,,,,,,RV02_072,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Petrovë,,,,,,Muzeqinë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,15.04.2013,12.12.2013,,,,,21.03.2013,25.04.2013,29.05.2013,,26.06.2013,31.07.2013,,,,,,,,23.01.2013,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:00,13:30,,,,,10:30,9:30,14:25,,14:25,14:00,,,,,,,,14:25,14:25,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,vranet,me diell,me diell,,me diell,diell,,,,,,,,diell,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,9,3.4,3.400,6.200,9.000,2,8.6,10.9,16.7,12.067,16.2,21.7,,18.950,,,,,,7.2,6,6.600,6.000,12.471,21.700,10.900,5.832,7
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pas,pa,pa,,pa,,,,,,,,,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,16.4,0.9,0.900,8.650,16.400,2,19.2,17.1,3.8,13.367,9.1,17.1,,13.100,,,,,,27,13.3,20.150,3.800,15.229,27.000,17.100,7.452,7
1008,Perqueshmëria elektrike,χ,µScm-1,480,405,405.000,442.500,480.000,2,430,466,488,461.333,493,608,,550.500,,,,,,474,470,472.000,430.000,489.857,608.000,474.000,55.930,7
1009,Materiet e tretshme në ujë,M.tert.,mg/l,241,203,203.000,222.000,241.000,2,215,233,244,230.667,246,302,,274.000,,,,,,236,233,234.500,215.000,244.143,302.000,236.000,27.431,7
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.1,,8.100,8.100,8.100,1,8.06,8.02,8.32,8.133,7.66,8.05,,7.855,,,,,,8.09,8.2,8.145,7.660,8.057,8.320,8.060,0.204,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,5.18,11.76,5.180,8.470,11.760,2,8.1,5.12,5.01,6.077,,5.28,,5.280,,,,,,7.11,9.02,8.065,5.010,6.607,9.020,6.195,1.722,6
1013,Ngopshmëria me oksigjen,NgO,%,48.7,94.6,48.700,71.650,94.600,2,93,51.9,64.9,69.933,,60.1,,60.100,,,,,,73.1,95.5,84.300,51.900,73.083,95.500,69.000,17.796,6
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,3,9.5,3.000,6.250,9.500,2,3,3,3.9,3.300,2.9,5.6,,4.250,,,,,,11.1,4.2,7.650,2.900,4.814,11.100,3.900,2.932,7
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,0.9,,0.900,0.900,0.900,1,1.8,1.7,2.2,1.900,1.7,1.2,,1.450,,,,,,4.67,0.6,2.635,0.600,1.981,4.670,1.700,1.290,7
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.8,3.2,0.800,2.000,3.200,2,1.2,1.3,1.7,1.400,1.3,1.6,,1.450,,,,,,4.4,1.2,2.800,1.200,1.814,4.400,1.300,1.157,7
1019,Meteriet totale të suspenduara ,MTS,mg/l,20,4.70,4.700,12.350,20.000,2,21.4,17.8,24.4,21.200,11.1,22.00,,16.550,,,,,,12.9,10,11.450,10.000,17.086,24.400,17.800,5.778,7
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,1.1,1.1,0.15,0.783,1.1,0.15,,0.625,,,,,,0.15,0.15,0.150,0.150,0.557,1.100,0.150,0.508,7
1021,Joni nitratet ,NO3-,mg/l,5,0.15,0.150,2.575,5.000,2,2.5,0.15,1.8,1.483,2.3,6.1,,4.200,,,,,,3.9,2.9,3.400,0.150,2.807,6.100,2.500,1.847,7
1022,Azoti i nitrateve,N-NO3-,mg/l N,1.130,0.15,0.150,0.640,1.130,2,0.565,0.15,0.407,0.374,0.520,1.379,,0.949,,,,,,0.881,0.655,0.768,0.150,0.651,1.379,0.565,0.391,7
1023,Joni nitrit ,NO2-,mg/l,0.0045,0.0045,0.005,0.005,0.005,2,0.112,0.175,0.41,0.232,0.444,0.726,,0.585,,,,,,0.118,,0.118,0.112,0.331,0.726,0.293,0.242,6
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.0045,0.0045,0.005,0.005,0.005,2,0.034,0.053,0.125,0.071,0.135,0.221,,0.178,,,,,,0.036,,0.036,0.034,0.101,0.221,0.089,0.074,6
1025,Joni amonium,NH4+,mg/l,,0.87,0.870,0.870,0.870,1,0.74,0.967,1.497,1.068,2.795,1.756,,2.276,,,,,,1.84,,1.840,0.740,1.599,2.795,1.627,0.730,6
1026,Azoti i amoniumit,N-NH4+,mg/l N,,0.677,0.677,0.677,0.677,1,0.576,0.752,1.165,0.831,2.175,1.366,,1.770,,,,,,1.432,,1.432,0.576,1.244,2.175,1.265,0.568,6
1027,Azoti total inorganik,ATI,mg/l N,1.135,0.831,0.831,0.983,1.135,2,1.175,0.956,1.696,1.275,2.829,2.965,,2.897,,,,,,2.349,0.655,1.502,0.655,1.804,2.965,1.696,0.926,7
1028,Amoniumi i pajonizuar,NH3,mg/l,,0.636,0.636,0.636,0.636,1,0.541,0.707,1.095,0.781,2.044,1.284,,1.664,,,,,,1.346,,1.346,0.541,1.170,2.044,1.189,0.533,6
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,0.524,0.524,0.524,0.524,1,0.445,0.582,0.901,0.643,1.682,1.057,,1.370,,,,,,1.107,,1.107,0.445,0.963,1.682,0.979,0.439,6
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.168,0.039,0.039,0.104,0.168,2,0.183,0.114,0.3,0.199,0.434,0.536,,0.485,,,,,,0.366,,0.366,0.114,0.322,0.536,0.333,0.157,6
