,,,Pellgu Drini I Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumi i Istogut,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacioni,,,RV01_021,,,,,,RV01_022,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Istog,,,,,,Zllakuqan,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Shtator,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,16.04.2013,04.09.2013,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,11:45,13:45,,,,,11:50,14:30,14:20,,13:15,13:45,,,19:05,,,,,12:10,12:10,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,vranet,me diell,me diell,,vranet,diell,,,diell,,,,,diell,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,9.7,8.9,8.900,9.300,9.700,2,9,11.6,13.1,11.233,12.9,16.6,,14.750,15.3,,,15.300,,6.3,6.9,6.600,6.300,11.463,16.600,12.250,3.769,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa ,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,pa,,,pa,,,,,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,10.5,0.3,0.300,5.400,10.500,2,12.2,161,19,64.067,18.6,13.4,,16.000,18.2,,,18.200,,16.6,102,59.300,12.200,45.125,161.000,18.400,55.648,8
1008,Perqueshmëria elektrike,χ,µS/cm,276,321,276.000,298.500,321.000,2,324,321,328,324.333,334,360,,347.000,361,,,361.000,,363,339,351.000,321.000,341.250,363.000,336.500,17.548,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,138,160,138.000,149.000,160.000,2,161,160,164,161.667,167,180,,173.500,180,,,180.000,,181,170,175.500,160.000,170.375,181.000,168.500,8.831,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.76,8.4,7.760,8.080,8.400,2,8.06,8.16,7.95,8.057,8.28,8.3,,8.290,8.48,,,8.480,,8.12,7.99,8.055,7.950,8.168,8.480,8.140,0.178,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
