,,,Pellgu Drini I Bardhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Mirusha,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_051,,,,,,RV01_052,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Bajë e Malishevës,,,,,,Volljakë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,29.04.2013,12.12.2013,,,,,19.03.2013,18.04.2013,23.05.2013,,25.06.2013,17.07.2013,,,,,05.11.2013,,16.12.2013,22.01.2013,20.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:18,15:10,,,,,10:15,10:00,12:45,,10:25,11:45,,,,,11:45,,10:00,10:05,10:20,,,,,,,
1002,Moti,M,vrojtim,diell,vranet,,,,,vranet,me diell,me shi,,vranet,diell,,,,,vranët,,diell,vranet,diell,,,,,,,
1003,Temperatura e ujit ,Tu,0C,25,21.6,21.600,23.300,25.000,2,8.6,12.6,16.5,12.567,18.8,17.2,,18.000,,,14.6,14.600,4.0,7.5,7.2,6.233,4.000,11.889,18.800,12.600,5.237,9
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,pa,pa,0.000,,0.000,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,8.4,9.6,8.400,9.000,9.600,2,31,15.4,14.1,20.167,10.4,9.2,,9.800,,,0.7,0.700,11.1,228,13.9,84.333,0.700,37.089,228.000,13.900,72.033,9
1008,Perqueshmëria elektrike,χ,µScm-1,714,721,714.000,717.500,721.000,2,570,657,639,622.000,619,646,,632.500,,,691,691.000,706,465,662,611.000,465.000,628.333,706.000,646.000,72.894,9
1009,Materiet e tretshme në ujë,M.tert.,mg/l,357,361,357.000,359.000,361.000,2,285,328,318,310.333,309,323,,316.000,,,345,345.000,353,232,331,305.333,232.000,313.778,353.000,323.000,36.492,9
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,6.82,,6.820,6.820,6.820,1,8.03,7.96,7.81,7.933,7.99,8.72,,8.355,,,8.56,8.560,,7.84,8.09,7.965,7.810,8.125,8.720,8.010,0.334,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
