,,,,Pellgu I Moraves se Binçes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Morava e Binçës,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV03_011,,,,,,RV03_012,,,,,,,,,,,,,,,,,,,,,,RV03_013,,,,,,,,,,,,,,,,,,,,,,RV03_014,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Kurbuliq,,,,,,Kllokot,,,,,,,,,,,,,,,,,,,,,,Uglar,,,,,,,,,,,,,,,,,,,,,,Morava Domorovc,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,22.04.2013,13.11.2013,,,,,18.03.2013,22.04.2013,30.05.2013,,,25.07.2013,,,,,13.11.2013,,05.12.2013,31.01.2013,28.02.2013,,,,,,,,18.03.2013,22.04.2013,30.05.2013,,,25.07.2013,,,,,13.11.2013,,05.12.2013,31.01.2013,28.02.2013,,,,,,,,18.03.2013,22.04.2013,30.05.2013,,,25.07.2013,,,,,13.11.2013,,05.12.2013,31.01.2013,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,11:00,15:20,,,,,13:00,11:35,12:15,,,10:30,,,,,15:00,,12:00,11:50,12:20,,,,,,,,12:10,12:40,10:45,,,12:08,,,,,14:30,,13:30,12:40,10:22,,,,,,,,11:20,13:05,11:00,,,12:30,,,,,13:50,,14:00,13:30,10:35,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,vranet,me diell,me diell,,,diell,,,,,vranet,,diell,vranet,vranet,,,,,,,,vranet,me diell,me diell,,,diell,,,,,vranet,,diell,vranet,diell,,,,,,,,vranet,me diell,me deill,,,diell,,,,,Vranet,,diell,diell,diell,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.5,12,10.500,11.250,12.000,2,4.6,10.8,16.8,10.733,,20.7,,20.700,,,12.1,12.100,1.7,1.8,6.3,3.267,1.700,9.350,20.700,8.550,6.983,8,6.1,10.8,17.9,11.600,,21.6,,21.600,,,12.6,12.600,3.8,2.8,6.9,4.500,2.800,10.313,21.600,8.850,6.747,8,4.3,13.7,17.8,11.933,,20.7,,20.700,,,12.9,12.900,2.9,3.2,6.7,4.267,2.900,10.275,20.700,9.800,6.937,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa,,,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa ,,,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,12.6,6.5,6.500,9.550,12.600,2,19.7,12.2,11.4,14.433,,9.7,,9.700,,,1.9,1.900,19,14.2,20,17.733,1.900,13.513,20.000,13.200,6.171,8,23,16.5,18.7,19.400,,18,,18.000,,,160,160.000,97,17.6,24,46.200,16.500,46.850,160.000,20.850,53.198,8,17.6,10.2,153,60.267,,12,,12.000,,,134,134.000,118,18.7,24,53.567,10.200,60.938,153.000,21.350,62.181,8
1008,Perqueshmëria elektrike,χ,µScm-1,247,302,247.000,274.500,302.000,2,297,324,349,323.333,,485,,485.000,,,454,454.000,517,450,236,401.000,236.000,389.000,517.000,399.500,100.885,8,382,520,633,511.667,,837,,837.000,,,804,804.000,623,570,267,486.667,267.000,579.500,837.000,596.500,193.374,8,372,464,613,483.000,,860,,860.000,,,788,788.000,611,480,263,451.333,263.000,556.375,860.000,545.500,202.293,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,123,151,123.000,137.000,151.000,2,151,162,174,162.333,,244,,244.000,,,227,227.000,263,226,118,202.333,118.000,195.625,263.000,200.000,51.272,8,190,260,316,255.333,,418,,418.000,,,402,402.000,311,283,133,242.333,133.000,289.125,418.000,297.000,96.833,8,185,232,153,190.000,,431,,431.000,,,393,393.000,306,242,131,226.333,131.000,259.125,431.000,237.000,109.455,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.54,,8.540,8.540,8.540,1,8.11,7.79,8.2,8.033,,8.3,,8.300,,,,,,7.78,7.79,7.785,7.780,7.995,8.300,7.950,0.236,6,7.99,7.73,8.15,7.957,,8.65,,8.650,,,,,,7.88,7.84,7.860,7.730,8.040,8.650,7.935,0.331,6,7.93,7.81,8.13,7.957,,8.7,,8.700,,,,,,7.83,7.85,7.840,7.810,8.042,8.700,7.890,0.343,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,6.81,,6.810,6.810,6.810,1,9.44,7.75,7.04,8.077,,1.86,,1.860,,,,,4.53,6.93,6.9,6.120,1.860,6.350,9.440,6.930,2.453,7,10.55,6.8,8.01,8.453,,3.3,,3.300,,,,,5.04,7.23,6.3,6.190,3.300,6.747,10.550,6.800,2.284,7,7.32,7.45,10.12,8.297,,5.21,,5.210,,,,,5.14,7.32,6.55,6.337,5.140,7.016,10.120,7.320,1.684,7
1013,Ngopshmëria me oksigjen,NgO,%,89,,89.000,89.000,89.000,1,95.6,77.1,72.6,81.767,,20.2,,20.200,,,,,36,53.6,57.8,49.133,20.200,58.986,95.600,57.800,25.551,7,110.2,72.5,83.5,88.733,,37.5,,37.500,,,,,43.4,58.6,53.5,51.833,37.500,65.600,110.200,58.600,25.282,7,72.5,79.1,103.5,85.033,,58.2,,58.200,,,,,44.9,58.7,55.4,53.000,44.900,67.471,103.500,58.700,19.479,7
