,,,,,Pellgu I Lepencit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Nerodimja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV04_021,,,,,,RV04_022,,,,,,,,,,,,,,,,,,,,,,RV04_023,,,,,,,,,,,,,,,,,,,,,,RV04_024,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Jezerc,,,,,,Bifurkacioni,,,,,,,,,,,,,,,,,,,,,,Gërlicë,,,,,,,,,,,,,,,,,,,,,,NerodimjaKaçanik ,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,25.04.2013,12.12.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03.2013,25.04.2013,30.05.2013,,,24.07.2013,,,,08.10.2013,,,05.12.2013,31.01.2013,28.02.2013,,,,,,,,21.03.2013,25.04.2013,30.05.2013,,,,,,,08.10.2013,,,05.12.2013,,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:25,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,15:10,12:45,,,14:50,,,,9:50,,,10:00,10:15,13:05,,,,,,,,15:10,14:55,14:30,,,,,,,10:05,,,10:20,,13:20,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,,,,,,,,,,,,,,,,,,,,,,,me shi,me diell,me diell,,,diell,,,,diell,,,diell,shi,vranet,,,,,,,,me shi,me diell,me diell,,,,,,,diell,,,diell,,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.25,0.3,0.300,5.275,10.250,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,10.5,16.1,15.9,14.167,,21.4,,21.400,,12.5,,12.500,4.5,3.8,6.4,4.900,3.800,11.388,21.400,11.500,6.265,8,10.3,18.5,19.1,15.967,,,,,,14,,14.000,3.9,,5.8,4.850,3.900,11.933,19.100,12.150,6.381,6
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,pa,pa,pa,,,pa,,,,pa,,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa,,,,,,,pa,,,pa,,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,pa,,,,pa,,,pa,,,,0.000,,0.000,,,0,,,,,,,,,,pa,,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,9.7,9.5,9.500,9.600,9.700,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,17.7,10.2,19.4,15.767,,18,,18.000,,115,,115.000,117,15.8,33,55.267,10.200,43.263,117.000,18.700,45.351,8,19.2,18.8,14.7,17.567,,,,,,13.7,,13.700,111,,21,66.000,13.700,33.067,111.000,19.000,38.282,6
1008,Perqueshmëria elektrike,χ,µScm-1,113,149,113.000,131.000,149.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,425,459,401,428.333,,621,,621.000,,587,,587.000,638,540,413,530.333,401.000,510.500,638.000,499.500,97.576,8,458,455,495,469.333,,,,,,564,,564.000,621,,225,423.000,225.000,469.667,621.000,476.500,136.129,6
1009,Materiet e tretshme në ujë,M.tert.,mg/l,57,75,57.000,66.000,75.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,213,230,200,214.333,,310,,310.000,,293,,293.000,318,271,207,265.333,200.000,255.250,318.000,250.500,48.420,8,230,227,247,234.667,,,,,,282,,282.000,312,,112,212.000,112.000,235.000,312.000,238.500,68.557,6
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.21,,8.210,8.210,8.210,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,7.73,7.58,8.24,7.850,,8,,8.000,,8.22,,8.220,,7.74,7.79,7.765,7.580,7.900,8.240,7.790,0.257,7,7.94,8.08,8.37,8.130,,,,,,8.52,,8.520,,,8.11,8.110,7.940,8.204,8.520,8.110,0.235,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,7.99,11.6,7.990,9.795,11.600,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,6.89,4.62,6.01,5.840,,2.36,,2.360,,,,,2.9,7.83,9.87,6.867,2.360,5.783,9.870,6.010,2.694,7,8.89,4.5,6.93,6.773,,,,,,,,,6.17,,8.37,7.270,4.500,6.972,8.890,6.930,1.760,5
1013,Ngopshmëria me oksigjen,NgO,%,77.7,91.1,77.700,84.400,91.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,79.5,49.4,62.7,63.867,,21.1,,21.100,,,,,26.9,64.3,105,65.400,21.100,58.414,105.000,62.700,29.254,7,99.5,47.6,72.4,73.167,,,,,,,,,48.8,,102.8,75.800,47.600,74.220,102.800,72.400,26.524,5
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,1.3,6.7,1.300,4.000,6.700,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,4.2,9,6.8,6.667,,14.2,,14.200,,16.4,,16.400,11.5,27.2,3,13.900,3.000,11.538,27.200,10.250,7.853,8,3.9,9.2,4.8,5.967,,,,,,7.2,,7.200,7.1,,2.2,4.650,2.200,5.733,9.200,5.950,2.559,6
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,2.1,4.7,3.5,3.433,,7.7,,7.700,,8.9,,8.900,5.5,13.4,1.1,6.667,1.100,5.863,13.400,5.100,4.023,8,1.6,1.3,2.1,1.667,,,,,,3.8,,3.800,2.4,,0.4,1.400,0.400,1.933,3.800,1.850,1.148,6
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.9,2.1,0.900,1.500,2.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,1.6,3.5,2.6,2.567,,5.5,,5.500,,6.4,,6.400,3.5,8.1,0.8,4.133,0.800,4.000,8.100,3.500,2.487,8,1.2,2.7,1.6,1.833,,,,,,2.8,,2.800,1.9,,0.6,1.250,0.600,1.800,2.800,1.750,0.856,6
1019,Meteriet totale të suspenduara ,MTS,mg/l,4.7,15.00,4.700,9.850,15.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,29,34,31,31.333,,14.0,,14.000,,21.60,,21.600,18.7,3.8,23.4,15.300,3.800,21.938,34.000,22.500,9.872,8,23.4,20,34,25.800,,,,,,31.0,,31.000,28.10,,7.8,17.950,7.800,24.050,34.000,25.750,9.430,6
