,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,, ,Toplluha,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_091,,,,,,RV01_092,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Buqallë,,,,,,Piranë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,29.04.2013,12.12.2013,,,,,28.03.2013,29.04.2013,29.05.2013,,26.06.2013,31.07.2013,,,,,21.11.2013,,,23.01.2013,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:48,14:20,,,,,13:50,13:25,10:45,,11:05,11:30,,,,,14:50,,,10:50,11:35,,,,,,,
1002,Moti,M,vrojtim,diell,vranet,,,,,me diell,me diell,me diell,,me diell,diell,,,,,vranet,,,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,15.2,1.5,1.500,8.350,15.200,2,10.4,19.3,15.1,14.933,16.8,21.5,,19.150,,,13,13.000,,7.8,6.8,7.300,6.800,13.838,21.500,14.050,5.311,8
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,pa,,,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,pa,pa,0.000,,0.000,0,,pa,,,,pa,,,,,pa,,,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,15.8,10.1,10.100,12.950,15.800,2,38,122,8.2,56.067,2,23,,12.500,,,14.5,14.500,,20,14,17.000,2.000,30.213,122.000,17.250,38.604,8
1008,Perqueshmëria elektrike,χ,µScm-1,482,548,482.000,515.000,548.000,2,511,582,540,544.333,534,554,,544.000,,,578,578.000,,579,570,574.500,511.000,556.000,582.000,562.000,25.785,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,241,274,241.000,257.500,274.000,2,255,191,270,238.667,267,270,,268.500,,,290,290.000,,290,283,286.500,191.000,264.500,290.000,270.000,32.076,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.97,,7.970,7.970,7.970,1,7.9,8.02,8.42,8.113,7.85,8.21,,8.030,,,,,,8.21,8.32,8.265,7.850,8.133,8.420,8.210,0.215,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
